official,code,name,P1,P2,P3,P4,P5,P6,prize
True,MDA1,Sabina Tontici,0,2,0,3,0,0,0
True,MDA2,Otilia Don,0,4,0,7,7,0,3
True,MDA3,Elvira Serdțevoi,5,2,0,4,0,0,2
True,MDA4,Tamara Tataru,0,0,2,0,0,0,0
False,MEX1,Olga Medrano-Martin del Campo,7,7,2,7,7,2,4
False,MEX2,Alka Earathu,3,3,1,7,3,0,3
False,MEX3,Marcela Cruz-Larios,0,2,0,4,1,0,0
False,MEX4,Jacqueline Lira-Chávez,0,1,1,3,2,0,0
True,MKD1,Sanja Simonovikj,0,3,0,1,0,0,0
True,MKD2,Tea Stoilkovska,2,1,0,0,1,0,0
True,MKD3,Nadezhda Ilieva,1,4,1,2,2,0,0
True,MKD4,Tamara Mitrovska,0,2,0,0,2,0,0
True,NLD1,Christel van Diepen,7,3,1,3,1,0,2
True,NLD2,Aimée Jacobs,0,2,0,0,1,1,0
True,NLD3,Esther Steenkamer,7,1,0,0,3,0,2
True,NLD4,Mieke Wessel,7,3,0,7,4,0,3
True,NOR1,Anna Lyubarskaja,7,3,1,1,1,0,2
True,NOR2,Anna Margrete Sletsjøe,1,0,0,0,3,0,0
True,NOR3,Weronika Wrzos-Kaminska,7,1,1,0,5,0,2
True,NOR4,Yuting (Samanda) Hu,0,0,0,0,0,0,0
True,POL1,Wiktoria Kośny,0,2,0,7,6,3,3
True,POL2,Marta Mościcka,1,3,2,7,7,0,3
True,POL3,Bogna Pawlus,4,7,0,1,4,3,3
True,POL4,Diana Trokowska,0,3,2,7,5,0,3
True,ROU1,Ioana Alexandra Teodorescu,2,1,0,7,1,6,3
True,ROU2,Andreea Dima,7,7,0,0,0,0,2
True,ROU3,Ramona Deaconu,1,2,0,7,2,0,2
True,ROU4,Raluca Cobzaru,1,7,1,7,1,5,3
False,ROUB1,Clara Maria Dima,7,1,0,7,2,0,3
False,ROUB2,Lenca Iarina Cuturela,6,7,0,3,1,7,3
False,ROUB3,Doina Chiroiu,7,0,0,7,4,0,3
False,ROUB4,Ana Maria Radu,0,4,0,7,0,0,2
True,RUS1,Albina Lialina,7,7,2,7,6,0,4
True,RUS2,Aleksandra Sonina,7,1,1,7,3,0,3
True,RUS3,Maria Dmitrieva,7,7,7,7,7,7,4
True,RUS4,Isabella Tolokno,7,2,7,2,7,7,4
False,SAU1,Shaden Alshammari,7,7,2,7,1,7,4
False,SAU2,Renad Abualjamal,7,2,1,0,1,0,2
False,SAU3,Razan Alghamdi,0,1,0,1,0,0,0
False,SAU4,Joud Tofiq Saleh,3,3,0,7,0,0,2
True,SRB1,Danica Zečević,7,7,0,7,0,6,4
True,SRB2,Staša Kostić,1,2,0,0,0,0,0
True,SRB3,Jana Vučković,7,3,0,0,1,5,2
True,SRB4,Katarina Nikolić,0,0,1,7,1,0,1
True,SUI1,Ivana Klasovita,3,2,0,1,3,0,0
True,SUI2,Viera Klasovita,1,1,1,1,1,0,0
True,SUI3,Yunshu Ouyang,0,2,0,1,0,0,0
True,SUI4,Stefanie Zbinden,7,1,2,7,5,0,3
True,SVN1,Klara Drofenik,1,3,0,4,1,0,0
True,SVN2,Doris Keršič,0,5,0,1,1,0,0
True,SVN3,Eva Seme,6,0,0,0,1,0,0
True,SVN4,Maša Smajila,0,3,0,1,0,0,0
True,TUR1,Cemre Çadır,1,3,0,7,1,1,2
True,TUR2,Feyza Duman,7,7,7,7,7,5,4
True,TUR3,Asude Ebrar Kızıloğlu,3,7,1,1,0,4,2
True,TUR4,Ayşe Pelin Özcan,7,7,1,7,1,0,3
True,UKR1,Olga Shevchenko,0,2,4,7,1,0,2
True,UKR2,Olha Silina,7,7,7,1,7,5,4
True,UKR3,Oleksandra Tumak,7,1,2,7,7,0,3
True,UKR4,Yuliia Zdanovska,0,3,1,1,2,0,0
True,UNK1,Rosie Cates,7,7,3,7,7,4,4
True,UNK2,Tomoka Kan,1,7,0,0,4,0,2
True,UNK3,Alevtina Studenikina,6,0,0,7,1,0,2
True,UNK4,Naomi Wei,1,7,0,7,1,1,3
False,USA1,Celine Liang,4,7,1,7,7,0,3
False,USA2,Demi Guo,7,2,2,0,3,0,2
False,USA3,Meghal Gupta,7,1,7,7,7,5,4
False,USA4,Rachel Zhang,7,7,2,7,7,7,4
